id,home_team,away_team
16prg48,sandiegostate,boisestate
16prg5j,sanjosestate,airforce
16q6omx,clemson,floridastate
16q6oo2,tcu,smu
16q6opo,cincinnati,oklahoma
16q6oqs,texasam,auburn
16q6ose,syracuse,army
16q6otf,vanderbilt,kentucky
16q6oum,marshall,virginiatech
16q6ovi,northernillinois,tulsa
16q6owk,michigan,rutgers
16q6oxr,troy,wku
16q6oys,stfrancis,sacredheart
16q6p01,yale,cornell
16q6p18,stetson,butler
16q6p2s,princeton,bryant
16q7eti,columbia,georgetown
16q84e9,fordham,stonehill
16q84f8,illinoisstate,lindenwood
16q84g7,valparaiso,marist
16q84hi,furman,mercer
16q8tiy,toledo,westernmichigan
16q8tjv,vmi,wofford
16q8tkw,dartmouth,lehigh
16q9ipt,ballstate,georgiasouthern
16q9iqz,holycross,colgate
16q9isa,stthomasmn,moreheadstate
16q9it6,villanova,rhodeisland
16qa8ev,westerncarolina,charlestonsouthern
16qaxg4,mvsu,nccu
16qaxh7,grambling,texassouthern
16qaxik,missouristate,utahtech
16qaxjz,easternillinois,mcneese
16qaxky,robertmorris,virginialynchburg-sheet4-row31-col19
16qaxly,samford,chattanooga
16qbmww,alabama,olemiss
16qbmxz,utah,ucla
16qbmz1,oregon,colorado
16qbn0g,illinois,fau
16qbn1t,nebraska,louisianatech
16qbn2r,louisville,bostoncollege
16qbn3e,temple,miami
16qbn4f,kansas,byu
16qbn5d,westvirginia,texastech
16qbn6k,michiganstate,maryland
16qbn7j,connecticut,duke
16qbn8h,umass,newmexico
16qbn9e,olddominion,texasamcommerce
16qbnar,bowlinggreen,ohio
16qbnbp,miamioh,delawarestate
16qbncs,bucknell,pennsylvania
16qbndt,lafayette,monmouth
16qbnek,williammary,maine
16qbnfh,stonybrook,richmond
16qcc3w,tennessee,utsa
16qcc5c,iowastate,oklahomastate
16qcc6b,usf,rice
16qcc7e,towson,norfolkstate
16qcc8g,wagner,merrimack
16qcc9h,portlandstate,calpoly
16qccad,idaho,sacramentostate
16qccbl,northernarizona,montana
16qdq0y,southalabama,centralmichigan
16qdq26,jacksonvillestate,easternmichigan
16qdq2z,sandiego,dayton
16qf4uh,ecu,gardnerwebb
16qf4vq,morganstate,albany
16qf4ww,southcarolinastate,citadel
16qf4ya,floridaam,alabamastate
16qf4z7,easternkentucky,southeastmissouri
16qf50p,idahostate,northerncolorado
16qf51p,campbell,elon
16qf52u,delaware,newhampshire
16qfuhg,wakeforest,georgiatech
16qfuiq,fiu,liberty
16qgjn2,lsu,arkansas
16qgjo5,washingtonstate,oregonstate
16qgjoz,tulane,nicholls
16qgjpy,stanford,arizona
16qgjr2,florida,charlotte
16qgjs7,houston,samhoustonstate
16qgjt9,middletennessee,coloradostate
16qgju6,wyoming,appalachianstate
16qgjv8,arkansasstate,southernmiss
16qgjw0,texasstate,nevada
16qgjx1,jacksonstate,bethunecookman
16qgjy1,southeasternlouisiana,houstonbaptist
16qgjz3,alcornstate,prairieviewam
16qgk0m,stephenfaustin,austinpeay
16qgk1k,centralarkansas,abilenechristian
16qgk2x,northalabama,utmartin
16qgk3r,tarletonstate,southwestbaptist-sheet2-row04-col05
